symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-01-02,300.35,300.6,295.19,296.24,33911864,73.9876321254,74.0492166369,72.7165278079,72.9751827562,135647456,0.0,1.0
AAPL,2020-01-03,297.43,300.58,296.5,297.15,36633878,73.268325031,74.044289876,73.0392306482,73.1993503781,146535512,0.0,1.0
AAPL,2020-01-06,299.8,299.96,292.75,293.79,29644644,73.8521462001,73.8915602874,72.1154629755,72.3716545434,118578576,0.0,1.0
AAPL,2020-01-07,298.39,300.9,297.48,299.84,27877655,73.5048095552,74.1231180507,73.2806419333,73.8619997219,111510620,0.0,1.0
AAPL,2020-01-08,303.19,304.44,297.16,297.16,33090946,74.6872321761,74.9951547336,73.2018137585,73.2018137585,132363784,0.0,1.0
AAPL,2020-01-09,309.63,310.43,306.2,307.24,42621542,76.2736491925,76.4707196294,75.4287096947,75.6849012625,170486168,0.0,1.0
AAPL,2020-01-10,310.33,312.67,308.25,310.6,35217272,76.4460858248,77.0225168525,75.933702689,76.5125970972,140869088,0.0,1.0
AAPL,2020-01-13,316.96,317.07,311.15,311.64,30028742,78.0793070699,78.106404255,76.6480830225,76.7687886651,120114968,0.0,1.0
AAPL,2020-01-14,312.68,317.57,312.17,316.7,40653457,77.0249802329,78.229573278,76.8993478295,78.015259178,162613828,0.0,1.0
AAPL,2020-01-15,311.34,315.5,309.55,311.85,30480882,76.6948872513,77.7196535227,76.2539421489,76.8205196547,121923528,0.0,1.0
AAPL,2020-01-16,315.24,315.7,312.09,313.59,27207254,77.6556056308,77.768921132,76.8796407858,77.2491478548,108829016,0.0,1.0
AAPL,2020-01-17,318.73,318.74,315.0,316.27,34454117,78.5153254114,78.5177887919,77.5964844997,77.9093338182,137816468,0.0,1.0
AAPL,2020-01-21,316.57,319.02,316.0,317.19,27235039,77.983235232,78.5867634448,77.8428225458,78.1359648205,108940156,0.0,1.0
AAPL,2020-01-22,317.7,319.99,317.31,318.58,25458115,78.261597224,78.8257113494,78.1655253861,78.4783747045,101832460,0.0,1.0
AAPL,2020-01-23,319.23,319.56,315.65,317.92,26117993,78.6384944344,78.7197859896,77.7566042296,78.3157915941,104471972,0.0,1.0
AAPL,2020-01-24,318.31,323.33,317.52,320.25,36634380,78.4118634321,79.6484804232,78.2172563757,78.8897592414,146537520,0.0,1.0
AAPL,2020-01-27,308.95,311.77,304.88,310.06,40485005,76.1061393212,76.800812611,75.1035434739,76.3795745523,161940020,0.0,1.0
AAPL,2020-01-28,317.69,318.4,312.19,312.6,40558486,78.2591338436,78.4340338562,76.9042745904,77.0052731893,162233944,0.0,1.0
AAPL,2020-01-29,324.34,327.85,321.38,324.45,54149928,79.8972818497,80.7619283912,79.1681212334,79.9243790347,216599712,0.0,1.0
AAPL,2020-01-30,323.87,324.09,318.75,320.54,31685808,79.781502968,79.8356973381,78.5202521723,78.9611972747,126743232,0.0,1.0
AAPL,2020-01-31,309.51,322.68,308.29,320.93,49897096,76.244088627,79.4883606932,75.9435562109,79.0572691127,199588384,0.0,1.0
AAPL,2020-02-03,308.66,313.49,302.22,304.3,43496401,76.0347012879,77.2245140502,74.4482842715,74.9606674072,173985604,0.0,1.0
